Key,CadType,LeadingTones
^C(1|3)T-2x?z?$,Clausula Vera,1
^C(2|4)T-2x?z?$,Clausula Vera,0
^C(1|3)z$,Abandoned Clausula Vera,1
^C(2|4)z$,Abandoned Clausula Vera,0
^C(1|3)$,Quince,1
^C(2|4)$,Quince,0
^yz$,Abandoned Clausula Vera,-1
^A(2|4)C(1|3)T-2z?$,Clausula Vera,1
^A(2|4)C(2|4)T-2z?$,Clausula Vera,0
^A(2|4)C(1|3)z$,Abandoned Clausula Vera,1
^A(2|4)C(2|4)z$,Abandoned Clausula Vera,0
^A(1|3)C(1|3)T-2z?$,Double Leading Tone,2
^A(1|3)C(1|3)T-2t(1|2)z?$,Double Leading Tone,2
^A(1|3)C(1|3)t(1|2)z?$,Evaded Double Leading Tone,2
^A(1|3)C(1|3)z$,Abandoned Double Leading Tone,2
^C(1|3)T-2az?$,Clausula Vera,1
^C(2|4)T-2az?$,Clausula Vera,0
^C(1|3)t(1|2)x?z?$,Evaded Clausula Vera,1
^C(2|4)t(1|2)x?z?$,Evaded Clausula Vera,0
^A2C(1|3)t(1|2)z?$,Evaded Clausula Vera,1
^C(2|3|4)T-1z?$,Phrygian Clausula Vera,1
^A(2|3)C(2|3|4)T-1z?$,Phrygian Clausula Vera,1
^A(1|3)T-2x?y?z?$,Altizans Only,1
^A(2|4)T-2x?y?z?$,Altizans Only,0
^A(1|2|3|4)bx?z?$,Altizans Only,1
^A(2|3|4)T-1y?z?$,Phrygian Altizans,1
^A(1|3)Bx?z?$,Reinterpreted,1
^A(2|4)Bx?z?$,Reinterpreted,0
^T-2az?$,Evaded Altizans Only,-1
^C(2|4)PT-1z?$,Phrygian,1
^BC(1|3)x?z?$,Authentic,1
^BC(2|4)x?z?$,Authentic,0
^C1(t1|t2)?u-(1|2|3|4)$,Evaded Authentic,1
^C2u-(3|4)$,Evaded Authentic,0
^C1T-2u-3$,Clausula Vera,1
^C1T-2u-3x$,Evaded Authentic,1
^C(1|3)b$,Evaded Authentic,1
^C(2|4)b$,Evaded Authentic,1
^BC1u-(3|4)z?$,Authentic,1
^BC2u-(3|4)z?$,Authentic,0
^C(1|3)LT-2z?,Leaping Contratenor,1
^C(2|4)LT-2z?,Leaping Contratenor,0
^xyz?$,Abandoned Authentic,-1
^xy$,Evaded Authentic,-1
^C1T-2z$,Clausula Vera,1
^c-2z$,Evaded Clausula Vera,-1
^T-2y$,Evaded Clausula Vera,-1
^Bc5z?$,Evaded Authentic,-1
^Bc(-1|-2|4|5)z?$,Evaded Authentic,-1
^c-(1|2)xz?$,Abandoned Authentic,-1
^T-2c(-1|-2|4|5)x?z?$,Evaded Clausula Vera,-1
^T-2c5x?z?$,Evaded Clausula Vera,-1
^C(1|3)xz?$,Abandoned Authentic,1
^C(2|4)xz?$,Abandoned Authentic,0
^C1p(t1|t2)?$,Evaded Clausula Vera,1
^C2p(t1|t2)?$,Evaded Clausula Vera,0
^C1T-2p(t1|t2)?$,Evaded Clausula Vera,1
^C2T-2p(t1|t2)?$,Evaded Clausula Vera,0
